Name,District,No,Party,KeywordList
राम प्रसाद पासी,कपिलबस्तु,2,राष्ट्रिय जनमत पार्टी,"""राम प्रसाद पासी"" कपिलबस्तु 2|""राम प्रसाद पासी"""
सुमन गिरी,कपिलबस्तु,2,नेपाल जनसेवा पार्टी,"""सुमन गिरी"" कपिलबस्तु 2|""सुमन गिरी"""
प्रेम बहादुर वि.क,कपिलबस्तु,2,आम जनता पार्टी(एकल चुनाव चिन्ह),"""प्रेम बहादुर वि.क"" कपिलबस्तु 2|""प्रेम बहादुर वि.क"""
अब्दुल गफ्फार अन्सारी,कपिलबस्तु,2,स्वतन्त्र,"""अब्दुल गफ्फार अन्सारी"" कपिलबस्तु 2|""अब्दुल गफ्फार अन्सारी"""
अरुण तिवारी,कपिलबस्तु,2,स्वतन्त्र,"""अरुण तिवारी"" कपिलबस्तु 2|""अरुण तिवारी"""
ईब्राहिम पठान,कपिलबस्तु,2,स्वतन्त्र,"""ईब्राहिम पठान"" कपिलबस्तु 2|""ईब्राहिम पठान"""
कृष्‍ण चन्द्र पासी,कपिलबस्तु,2,स्वतन्त्र,"""कृष्‍ण चन्द्र पासी"" कपिलबस्तु 2|""कृष्‍ण चन्द्र पासी"""
टोमनाथ कुर्मी,कपिलबस्तु,2,स्वतन्त्र,"""टोमनाथ कुर्मी"" कपिलबस्तु 2|""टोमनाथ कुर्मी"""
तारा प्रसाद अधिकारी,कपिलबस्तु,2,स्वतन्त्र,"""तारा प्रसाद अधिकारी"" कपिलबस्तु 2|""तारा प्रसाद अधिकारी"""
महेश कुर्मी,कपिलबस्तु,2,स्वतन्त्र,"""महेश कुर्मी"" कपिलबस्तु 2|""महेश कुर्मी"""
राकेश कुर्मी,कपिलबस्तु,2,स्वतन्त्र,"""राकेश कुर्मी"" कपिलबस्तु 2|""राकेश कुर्मी"""
राम प्रसाद पौडेल,कपिलबस्तु,2,स्वतन्त्र,"""राम प्रसाद पौडेल"" कपिलबस्तु 2|""राम प्रसाद पौडेल"""
विजय नन्द चौवे,कपिलबस्तु,2,स्वतन्त्र,"""विजय नन्द चौवे"" कपिलबस्तु 2|""विजय नन्द चौवे"""
सरताज अहमद मु,कपिलबस्तु,2,स्वतन्त्र,"""सरताज अहमद मु"" कपिलबस्तु 2|""सरताज अहमद मु"""
बीरेन्द्र कुमार कानोडिया,कपिलबस्तु,3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Birendr Kumar Kanodiya"" कपिलबस्तु 3|""बीरेन्द्र कुमार कानोडिया"" कपिलबस्तु 3|""Birendr Kumar Kanodiya""|""बीरेन्द्र कुमार कानोडिया"""
अभिषेक प्रताप शाह,कपिलबस्तु,3,नेपाली काँग्रेस,"""Abhishek Prtap Shah"" कपिलबस्तु 3|""अभिषेक प्रताप शाह"" कपिलबस्तु 3|""Abhishek Prtap Shah""|""अभिषेक प्रताप शाह"""
एहसान अहमद खाँ,कपिलबस्तु,3,नेपाली कम्युनिष्ट पार्टी,"""एहसान अहमद खाँ"" कपिलबस्तु 3|""एहसान अहमद खाँ"""
प्रकाश रजौरिया,कपिलबस्तु,3,राष्ट्रिय स्वतन्त्र पार्टी,"""Prkash Rjauriya"" कपिलबस्तु 3|""प्रकाश रजौरिया"" कपिलबस्तु 3|""Prkash Rjauriya""|""प्रकाश रजौरिया"""
प्रेम शंकर शुक्ल,कपिलबस्तु,3,राष्ट्रिय प्रजातन्त्र पार्टी,"""Prem Shnkr Shukl"" कपिलबस्तु 3|""प्रेम शंकर शुक्ल"" कपिलबस्तु 3|""Prem Shnkr Shukl""|""प्रेम शंकर शुक्ल"""
ईश्‍वर कुमार राउत,कपिलबस्तु,3,जनमत पार्टी,"""ईश्‍वर कुमार राउत"" कपिलबस्तु 3|""ईश्‍वर कुमार राउत"""
केर सिंह अदै,कपिलबस्तु,3,राष्ट्रिय जनमोर्चा,"""केर सिंह अदै"" कपिलबस्तु 3|""केर सिंह अदै"""
अलाहुद्दीन दर्जी,कपिलबस्तु,3,बहुजन शक्ति पार्टी,"""अलाहुद्दीन दर्जी"" कपिलबस्तु 3|""अलाहुद्दीन दर्जी"""
जोगी पुरी गोसाई,कपिलबस्तु,3,नेपाल जनता पार्टी,"""जोगी पुरी गोसाई"" कपिलबस्तु 3|""जोगी पुरी गोसाई"""
विनोद लुईटेल,कपिलबस्तु,3,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""विनोद लुईटेल"" कपिलबस्तु 3|""विनोद लुईटेल"""
ईश्वर दयाल मिश्र,कपिलबस्तु,3,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),"""ईश्वर दयाल मिश्र"" कपिलबस्तु 3|""ईश्वर दयाल मिश्र"""
