CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName,PowerSearchQuery
सीताराम महतो,Sitaram Mahato,धनुषा,dhanusha,3,"(""सीताराम महतो"" OR ""Sitaram Mahato"") since:2025-09-05"
सुनिल साह,Sunil Sah,धनुषा,dhanusha,3,"(""सुनिल साह"" OR ""Sunil Sah"") since:2025-09-05"
सुरैत मंडल,Surait Mandal,धनुषा,dhanusha,3,"(""सुरैत मंडल"" OR ""Surait Mandal"") since:2025-09-05"
सुवदार यादव,Suvdar Yadav,धनुषा,dhanusha,3,"(""सुवदार यादव"" OR ""Suvdar Yadav"") since:2025-09-05"
हरि नारायण यादव,Hari Narayan Yadav,धनुषा,dhanusha,3,"(""हरि नारायण यादव"" OR ""Hari Narayan Yadav"") since:2025-09-05"
हुसैन कवारी,Husain Kvari,धनुषा,dhanusha,3,"(""हुसैन कवारी"" OR ""Husain Kvari"") since:2025-09-05"
अनिल कुमार चौधरी,Anil Kumar Chaudhary,धनुषा,dhanusha,4,"(""अनिल कुमार चौधरी"" OR ""Anil Kumar Chaudhary"") since:2025-09-05"
इन्द्रजित कुमार यादब,Indrajit Kumar Yadav,धनुषा,dhanusha,4,"(""इन्द्रजित कुमार यादब"" OR ""Indrajit Kumar Yadav"") since:2025-09-05"
कृष्ण चन्द्र प्रसाद साह,Krishna Chandra Prasad Sah,धनुषा,dhanusha,4,"(""कृष्ण चन्द्र प्रसाद साह"" OR ""Krishna Chandra Prasad Sah"") since:2025-09-05"
जंग बहादुर यादव,Jang Bahadur Yadav,धनुषा,dhanusha,4,"(""जंग बहादुर यादव"" OR ""Jang Bahadur Yadav"") since:2025-09-05"
