CandidateName,AGE_YR,Gender,DistrictName,ConstName,PoliticalPartyName,SymbolName
त्रीनारायण राजवंशी,64,पुरुष,झापा,4,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो)
साजन माझी,28,पुरुष,झापा,4,स्वतन्त्र,हेल्मेट
के.पी शर्मा ओली,74,पुरुष,झापा,5,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
मंधरा चिमरिया,63,महिला,झापा,5,नेपाली काँग्रेस,रुख
रन्जित तामाङ,43,पुरुष,झापा,5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा
वालेन्द्र शाह,36,पुरुष,झापा,5,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी
लक्ष्मी प्रसाद संग्रौला,54,पुरुष,झापा,5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो
धिरेन सुब्बा,62,पुरुष,झापा,5,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता
अमृतलाल महतो,43,पुरुष,झापा,5,जनमत पार्टी,लाउड स्पिकर
सान बहादुर मेचे,42,पुरुष,झापा,5,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले
पदम बहादुर जवेगु,48,पुरुष,झापा,5,नेपाल जनमुक्ति पार्टी,घर
सविन राई,35,पुरुष,झापा,5,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी
सुशान्त साम्पङ राइ,27,पुरुष,झापा,5,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी
समिर तामाङ्ग,33,पुरुष,झापा,5,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो
संजय राई,32,पुरुष,झापा,5,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल
अमृत रसाइलि,44,पुरुष,झापा,5,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो)
धर्मराज गुरागाई,43,पुरुष,झापा,5,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति
अर्जुन सापकोटा,39,पुरुष,झापा,5,स्वतन्त्र,क्याल्कुलेटर
खेमनाथ शिवाकोटी,60,पुरुष,झापा,5,स्वतन्त्र,क्यामरा
डम्वर शाहु,42,पुरुष,झापा,5,स्वतन्त्र,त्रिभुज
प्रकाश नेपाल,40,पुरुष,झापा,5,स्वतन्त्र,कैंची
पुस्कर खतिवडा,30,पुरुष,झापा,5,स्वतन्त्र,मुढा
मातृका भट्टराई,46,पुरुष,झापा,5,स्वतन्त्र,सिरिन्ज
रञ्जना गौतम,48,महिला,झापा,5,स्वतन्त्र,ग्याँस चुलो
विपुल गुरागाई,33,पुरुष,झापा,5,स्वतन्त्र,पाण्डा
शोभा भण्डारी,51,महिला,झापा,5,स्वतन्त्र,काउली
अर्जुन कुमार कार्की,62,पुरुष,संखुवासभा,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
दिपन कुमार श्रेष्ठ,46,पुरुष,संखुवासभा,1,नेपाली काँग्रेस,रुख
सरिता थापा,51,महिला,संखुवासभा,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा
मिङमा शेर्पा,47,पुरुष,संखुवासभा,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी
पदम बहादुर तामाङ,58,पुरुष,संखुवासभा,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो
भरत कुमार राई (याक्खा),43,पुरुष,संखुवासभा,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता
राज कुमार लघु,51,पुरुष,संखुवासभा,1,नेपाल मजदुर किसान पार्टी,मादल
हेम कुमार गुरुङ्ग,69,पुरुष,संखुवासभा,1,राष्ट्रिय जनमोर्चा,गिलास
देवेन्द्र कुमार (रिल्ली) घले,59,पुरुष,संखुवासभा,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले
केशर सिं राई,70,पुरुष,संखुवासभा,1,नेपाल जनमुक्ति पार्टी,घर
घनश्याम वालिङ राई,49,पुरुष,संखुवासभा,1,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी
रन माया राई(चाम्लिङ्ग),53,महिला,संखुवासभा,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी
कृष्ण बहादुर राई,44,पुरुष,संखुवासभा,1,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा
उमा कुमारी राई,43,महिला,संखुवासभा,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो
पुष्प कोईराला,54,पुरुष,संखुवासभा,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल
वासुदेब दाहाल,56,पुरुष,संखुवासभा,1,स्वतन्त्र,कैंची
भानु भक्त ढकाल,64,पुरुष,तेह्रथुम,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
सन्तोष सुब्वा,48,पुरुष,तेह्रथुम,1,नेपाली काँग्रेस,रुख
रनध्वज लिम्वु,67,पुरुष,तेह्रथुम,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा
सुरेन्द्र कार्की,28,पुरुष,तेह्रथुम,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी
होमभक्त लिम्बु (कुरुम्वाङ),65,पुरुष,तेह्रथुम,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो
गंगा वहादुर चोङवाङ् लिम्बु,39,पुरुष,तेह्रथुम,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले
सागर नाथ रेग्मी,67,पुरुष,तेह्रथुम,1,नेपाल जनमुक्ति पार्टी,घर
उषा लक्ष्‍मी तुम्वाहाङफे,26,महिला,तेह्रथुम,1,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी
टंक प्रसाद भट्टराई,63,पुरुष,तेह्रथुम,1,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती
शंकर मान लिम्बु,46,पुरुष,तेह्रथुम,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी
सुविन्द्र  कुमार  लिम्वु ,46,पुरुष,तेह्रथुम,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो
मन  कुमार  लिम्वू,30,पुरुष,तेह्रथुम,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल
शेरधन राई,55,पुरुष,भोजपुर,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
वालकृष्ण थापा,73,पुरुष,भोजपुर,1,नेपाली काँग्रेस,रुख
अजम्बर राई काङमाङ,58,पुरुष,भोजपुर,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा
रमेश प्रसाद ओझा,51,पुरुष,भोजपुर,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी
जनक नेपाल,42,पुरुष,भोजपुर,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो
राजा राम बासी,47,पुरुष,भोजपुर,1,नेपाल मजदुर किसान पार्टी,मादल
चन्द्र प्रसाद राई,47,पुरुष,भोजपुर,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले
जितेन्द्र  राई ,29,पुरुष,भोजपुर,1,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी
ध्रुवराज राई,43,पुरुष,भोजपुर,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो
देवान राज राई,49,पुरुष,भोजपुर,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल
गोपाल कुमार राई,66,पुरुष,भोजपुर,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो)
युवराज थापा,32,पुरुष,भोजपुर,1,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल
राजेन्द्र कुमार राई,59,पुरुष,धनकुटा,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
दिनेश राई,45,पुरुष,धनकुटा,1,नेपाली काँग्रेस,रुख
धर्म राज पौडेल,65,पुरुष,धनकुटा,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा
दिनेश भण्डारी,37,पुरुष,धनकुटा,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी
बिभत्सु थापा,30,पुरुष,धनकुटा,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो
आइत राज लिम्‍वु,50,पुरुष,धनकुटा,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता
उत्तम साखकर्मी,40,पुरुष,धनकुटा,1,नेपाल मजदुर किसान पार्टी,मादल
सागर राई,31,पुरुष,धनकुटा,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले
शालिक राम राई,25,पुरुष,धनकुटा,1,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी
बाल कुमार ताम्ली,37,पुरुष,धनकुटा,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी
सान बहादुर​ राई,46,पुरुष,धनकुटा,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो
रविन कुमार राई,37,पुरुष,धनकुटा,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल
निशान राई,35,पुरुष,धनकुटा,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो)
