CandidateName,DistrictName,ConstName,SmartKeywords
दिपन कुमार श्रेष्ठ,संखुवासभा,1,"""दिपन कुमार श्रेष्ठ""|""दिपन कुमार श्रेष्ठ"" संखुवासभा 1"
सरिता थापा,संखुवासभा,1,"""सरिता थापा"" संखुवासभा 1"
मिङमा शेर्पा,संखुवासभा,1,"""मिङमा शेर्पा""|""मिङमा शेर्पा"" संखुवासभा 1"
पदम बहादुर तामाङ,संखुवासभा,1,"""पदम बहादुर तामाङ"" संखुवासभा 1"
भरत कुमार राई (याक्खा),संखुवासभा,1,"""भरत कुमार राई (याक्खा)"" संखुवासभा 1"
राज कुमार लघु,संखुवासभा,1,"""राज कुमार लघु"" संखुवासभा 1"
हेम कुमार गुरुङ्ग,संखुवासभा,1,"""हेम कुमार गुरुङ्ग"" संखुवासभा 1"
देवेन्द्र कुमार (रिल्ली) घले,संखुवासभा,1,"""देवेन्द्र कुमार (रिल्ली) घले"" संखुवासभा 1"
केशर सिं राई,संखुवासभा,1,"""केशर सिं राई"" संखुवासभा 1"
घनश्याम वालिङ राई,संखुवासभा,1,"""घनश्याम वालिङ राई"" संखुवासभा 1"
रन माया राई(चाम्लिङ्ग),संखुवासभा,1,"""रन माया राई(चाम्लिङ्ग)"" संखुवासभा 1"
कृष्ण बहादुर राई,संखुवासभा,1,"""कृष्ण बहादुर राई"" संखुवासभा 1"
उमा कुमारी राई,संखुवासभा,1,"""उमा कुमारी राई"" संखुवासभा 1"
पुष्प कोईराला,संखुवासभा,1,"""पुष्प कोईराला"" संखुवासभा 1"
वासुदेब दाहाल,संखुवासभा,1,"""वासुदेब दाहाल"" संखुवासभा 1"
भानु भक्त ढकाल,तेह्रथुम,1,"""भानु भक्त ढकाल"" तेह्रथुम 1|""भानु भक्त ढकाल"""
सन्तोष सुब्वा,तेह्रथुम,1,"""सन्तोष सुब्वा"" तेह्रथुम 1|""सन्तोष सुब्वा"""
रनध्वज लिम्वु,तेह्रथुम,1,"""रनध्वज लिम्वु"" तेह्रथुम 1"
सुरेन्द्र कार्की,तेह्रथुम,1,"""सुरेन्द्र कार्की""|""सुरेन्द्र कार्की"" तेह्रथुम 1"
होमभक्त लिम्बु (कुरुम्वाङ),तेह्रथुम,1,"""होमभक्त लिम्बु (कुरुम्वाङ)"" तेह्रथुम 1"
गंगा वहादुर चोङवाङ् लिम्बु,तेह्रथुम,1,"""गंगा वहादुर चोङवाङ् लिम्बु"" तेह्रथुम 1"
सागर नाथ रेग्मी,तेह्रथुम,1,"""सागर नाथ रेग्मी"" तेह्रथुम 1"
उषा लक्ष्‍मी तुम्वाहाङफे,तेह्रथुम,1,"""उषा लक्ष्‍मी तुम्वाहाङफे"" तेह्रथुम 1"
टंक प्रसाद भट्टराई,तेह्रथुम,1,"""टंक प्रसाद भट्टराई"" तेह्रथुम 1"
शंकर मान लिम्बु,तेह्रथुम,1,"""शंकर मान लिम्बु"" तेह्रथुम 1"
सुविन्द्र  कुमार  लिम्वु ,तेह्रथुम,1,"""सुविन्द्र  कुमार  लिम्वु"" तेह्रथुम 1"
मन  कुमार  लिम्वू,तेह्रथुम,1,"""मन  कुमार  लिम्वू"" तेह्रथुम 1"
शेरधन राई,भोजपुर,1,"""शेरधन राई""|""शेरधन राई"" भोजपुर 1"
वालकृष्ण थापा,भोजपुर,1,"""वालकृष्ण थापा""|""वालकृष्ण थापा"" भोजपुर 1"
अजम्बर राई काङमाङ,भोजपुर,1,"""अजम्बर राई काङमाङ"" भोजपुर 1"
रमेश प्रसाद ओझा,भोजपुर,1,"""रमेश प्रसाद ओझा""|""रमेश प्रसाद ओझा"" भोजपुर 1"
जनक नेपाल,भोजपुर,1,"""जनक नेपाल"" भोजपुर 1"
राजा राम बासी,भोजपुर,1,"""राजा राम बासी"" भोजपुर 1"
चन्द्र प्रसाद राई,भोजपुर,1,"""चन्द्र प्रसाद राई"" भोजपुर 1"
जितेन्द्र  राई ,भोजपुर,1,"""जितेन्द्र  राई"" भोजपुर 1"
ध्रुवराज राई,भोजपुर,1,"""ध्रुवराज राई"" भोजपुर 1"
देवान राज राई,भोजपुर,1,"""देवान राज राई"" भोजपुर 1"
गोपाल कुमार राई,भोजपुर,1,"""गोपाल कुमार राई"" भोजपुर 1"
युवराज थापा,भोजपुर,1,"""युवराज थापा"" भोजपुर 1"
राजेन्द्र कुमार राई,धनकुटा,1,"""राजेन्द्र कुमार राई""|""राजेन्द्र कुमार राई"" धनकुटा 1"
दिनेश राई,धनकुटा,1,"""दिनेश राई"" धनकुटा 1|""दिनेश राई"""
धर्म राज पौडेल,धनकुटा,1,"""धर्म राज पौडेल"" धनकुटा 1"
दिनेश भण्डारी,धनकुटा,1,"""दिनेश भण्डारी""|""दिनेश भण्डारी"" धनकुटा 1"
बिभत्सु थापा,धनकुटा,1,"""बिभत्सु थापा"" धनकुटा 1"
आइत राज लिम्‍वु,धनकुटा,1,"""आइत राज लिम्‍वु"" धनकुटा 1"
उत्तम साखकर्मी,धनकुटा,1,"""उत्तम साखकर्मी"" धनकुटा 1"
सागर राई,धनकुटा,1,"""सागर राई"" धनकुटा 1"
शालिक राम राई,धनकुटा,1,"""शालिक राम राई"" धनकुटा 1"
बाल कुमार ताम्ली,धनकुटा,1,"""बाल कुमार ताम्ली"" धनकुटा 1"
सान बहादुर​ राई,धनकुटा,1,"""सान बहादुर​ राई"" धनकुटा 1"
रविन कुमार राई,धनकुटा,1,"""रविन कुमार राई"" धनकुटा 1"
निशान राई,धनकुटा,1,"""निशान राई"" धनकुटा 1"
प्रेम वहादुर थापा,धनकुटा,1,"""प्रेम वहादुर थापा"" धनकुटा 1"
जीतेन्द्र राई,धनकुटा,1,"""जीतेन्द्र राई"" धनकुटा 1"
मन कुमार योञ्जन,धनकुटा,1,"""मन कुमार योञ्जन"" धनकुटा 1"
लाक्‍पा तामाङ्ग,धनकुटा,1,"""लाक्‍पा तामाङ्ग"" धनकुटा 1"
घनश्याम खतीवडा,मोरङ,1,"""घनश्याम खतीवडा""|""घनश्याम खतीवडा"" मोरङ 1"
खड्ग बहादुर फागो,मोरङ,1,"""खड्ग बहादुर फागो"" मोरङ 1|""खड्ग बहादुर फागो"""
कुल प्रसाद साम्बा,मोरङ,1,"""कुल प्रसाद साम्बा"" मोरङ 1"
यज्ञमणि  न्याैपाने,मोरङ,1,"""यज्ञमणि  न्याैपाने""|""यज्ञमणि  न्याैपाने"" मोरङ 1"
पूर्ण बहादुर वाइवा तामाङ्ग,मोरङ,1,"""पूर्ण बहादुर वाइवा तामाङ्ग"" मोरङ 1"
सुरज लिम्वु,मोरङ,1,"""सुरज लिम्वु"" मोरङ 1"
फिव राज लिम्वु,मोरङ,1,"""फिव राज लिम्वु"" मोरङ 1"
दुर्गा कुमारी तामाङ,मोरङ,1,"""दुर्गा कुमारी तामाङ"" मोरङ 1"
दिल कुमारी लावती,मोरङ,1,"""दिल कुमारी लावती"" मोरङ 1"
शान्ती पाख्रिन लामा,मोरङ,1,"""शान्ती पाख्रिन लामा"" मोरङ 1"
डिल्ली राम लिम्बु,मोरङ,1,"""डिल्ली राम लिम्बु"" मोरङ 1"
डिल्ली राम नेपाली,मोरङ,1,"""डिल्ली राम नेपाली"" मोरङ 1"
ईशोर वाग्ले,मोरङ,1,"""ईशोर वाग्ले"" मोरङ 1"
पशुपति घिमीरे,मोरङ,1,"""पशुपति घिमीरे"" मोरङ 1"
प्रेम वर्देवा,मोरङ,1,"""प्रेम वर्देवा"" मोरङ 1"
मिलन भण्‍डारी,मोरङ,1,"""मिलन भण्‍डारी"" मोरङ 1"
याम प्रसाद दाहाल,मोरङ,1,"""याम प्रसाद दाहाल"" मोरङ 1"
दिलीप कुमार अग्रवाल,मोरङ,2,"""दिलीप कुमार अग्रवाल""|""दिलीप कुमार अग्रवाल"" मोरङ 2"
मिनेन्द्र प्रसाद रिजाल,मोरङ,2,"""मिनेन्द्र प्रसाद रिजाल""|""मिनेन्द्र प्रसाद रिजाल"" मोरङ 2"
चन्द्र वीर राई,मोरङ,2,"""चन्द्र वीर राई"" मोरङ 2"
कृष्ण कुमार कार्की,मोरङ,2,"""कृष्ण कुमार कार्की""|""कृष्ण कुमार कार्की"" मोरङ 2"
कन्स राज राजवंशी,मोरङ,2,"""कन्स राज राजवंशी"" मोरङ 2"
विनोद कुमार सिंह गनगाई,मोरङ,2,"""विनोद कुमार सिंह गनगाई"" मोरङ 2"
घनश्याम चौधरी,मोरङ,2,"""घनश्याम चौधरी"" मोरङ 2"
धन बहादुर लिम्बु,मोरङ,2,"""धन बहादुर लिम्बु"" मोरङ 2"
धन वहादुर सुनुवार,मोरङ,2,"""धन वहादुर सुनुवार"" मोरङ 2"
अबुहो रैरह,मोरङ,2,"""अबुहो रैरह"" मोरङ 2"
मेघेन्द्र कुमार रोक्का,मोरङ,2,"""मेघेन्द्र कुमार रोक्का"" मोरङ 2"
मनोज कुमार राजवंशी,मोरङ,2,"""मनोज कुमार राजवंशी"" मोरङ 2"
माधव प्रसाद राजवंशी,मोरङ,2,"""माधव प्रसाद राजवंशी"" मोरङ 2"
अनिल कुमार साह,मोरङ,2,"""अनिल कुमार साह"" मोरङ 2"
नरेश कुमार साह,मोरङ,2,"""नरेश कुमार साह"" मोरङ 2"
बुधु रिषिदेव,मोरङ,2,"""बुधु रिषिदेव"" मोरङ 2"
राजन निरौला,मोरङ,2,"""राजन निरौला"" मोरङ 2"
