Candidate,EnglishName,Constituency,Author,Text
प्रकाश नेपाल,Prakash Nepal,jhapa_5,@prakash Nepal,"एउटा भदौ २३ को बारेमा मात्रै उछाल्छ २४ को बारेमा बोल्दैन ,अर्को भदौ २४ को विध्वंस  मात्रै देख्छ,२३ र त्यस अगाडिदेखिका आफ्ना कमजोरीहरू देख्दैन। हामीले खोजेको भदौ २३/२४ दुवै दिनका घटनाका दोषीउपर चुनाव पछि बन्ने सरकारले कानुन अनुसारको कारबाही अगाडि बढाउनु पर्छ।"
प्रकाश नेपाल,Prakash Nepal,jhapa_5,ImageKhabar,थुम्केरानीमा झुम्मिदै पर्यटक Video Report: Prakash Nepal For More:  https:// imagekhabar.com #imagechannelhd #imagekhabar #imagechannel #illam
प्रकाश नेपाल,Prakash Nepal,jhapa_5,@prakash Nepal,कोसेली
प्रकाश नेपाल,Prakash Nepal,jhapa_5,@prakash Nepal,
प्रकाश नेपाल,Prakash Nepal,jhapa_5,@prakash Nepal,फा फु सांसद भन्दै स्टाटसबाटै विचार नआउला भन्न सकिन्न
प्रकाश नेपाल,Prakash Nepal,jhapa_5,@prakash Nepal,गाह्रो छ हो दाई
प्रकाश नेपाल,Prakash Nepal,jhapa_5,@prakash Nepal,सरलाई पनि चुनावी हावाले छोएको छ बेस्सरी नै
प्रकाश नेपाल,Prakash Nepal,jhapa_5,@prakash Nepal,शुभप्रभात शुभदिनको शुभकामना  #रंगहरूकोपर्वफाल्गुपुर्णिमाकोशुभकामना
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,Gokul Mis-ra ,देउवा त के मेरो बाउले भ्रष्टाचार गरे पनि जेल हाल्नुपर्छ´- मन्धरा चिमरिया पौडेल
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,सचेत नागरिक ,झापा ५ मा तिन वटा साँढे जुद्धै गर्दा बिजय हासिल गर्ने महिला मन्धरा चिमरिया  भोट रुखमा
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,Tika Ram Yatri,`देउवा त के मेरो बाउले भ्रष्टाचार गरे पनि जेल हाल्नुपर्छ´- मन्धरा चिमरिया पौडेल
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,Nepali Congress,"सही व्यक्ति, सही ठाउँ। मन्धरा चिमरिया, झापा क्षेत्र नं - ५  #NepaliCongress #Congress2.0 #SahiWyaktiSahiThau #Vis10n #Jhapa5"
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,Nirmal Prasai,"ओली र बालेनको हार शतप्रतिशत निश्चित छ, मन्धरा चिमरिया को जित हजार प्रतिशत सुनिस्चित छ। यसपटक सरप्राइज हुनेवाला छ।"
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,Nepali Congress,"झापा ५ का लागि, सही व्यक्ति मन्धरा चिमरिया"
