Name,District,No,Party,Symbol,KeywordList
माधव प्रसाद न्यौपाने,सिन्धुली,2,स्वतन्त्र,ठेकी,"""माधव प्रसाद न्यौपाने""|""माधव"" सिन्धुली|""माधव"" 2|सिन्धुली 2 चुनाव|#माधव|""माधव प्रसाद न्यौपाने"" सिन्धुली"
सरोज बि.क.,सिन्धुली,2,स्वतन्त्र,कैंची,"""सरोज बि.क.""|""सरोज"" सिन्धुली|""सरोज"" 2|सिन्धुली 2 चुनाव|#सरोज|""सरोज बि.क."" सिन्धुली"
रामचन्द्र मण्डल,धनुषा,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"""रामचन्द्र मण्डल""|""रामचन्द्र"" धनुषा|""रामचन्द्र"" 1|धनुषा 1 चुनाव|#रामचन्द्र|""रामचन्द्र मण्डल"" धनुषा"
राम पलटन साह,धनुषा,1,नेपाली काँग्रेस,रुख,"""राम पलटन साह""|""राम"" धनुषा|""राम"" 1|धनुषा 1 चुनाव|#राम|""राम पलटन साह"" धनुषा"
मातृका प्रसाद यादव,धनुषा,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"""मातृका प्रसाद यादव""|""मातृका"" धनुषा|""मातृका"" 1|धनुषा 1 चुनाव|#मातृका|""मातृका प्रसाद यादव"" धनुषा"
किशोरी साह कमल,धनुषा,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"""किशोरी साह कमल""|""किशोरी"" धनुषा|""किशोरी"" 1|धनुषा 1 चुनाव|#किशोरी|""किशोरी साह कमल"" धनुषा"
मनोज मल्ल ठकुरी,धनुषा,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"""मनोज मल्ल ठकुरी""|""मनोज"" धनुषा|""मनोज"" 1|धनुषा 1 चुनाव|#मनोज|""मनोज मल्ल ठकुरी"" धनुषा"
दीपक कार्की,धनुषा,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"""दीपक कार्की""|""दीपक"" धनुषा|""दीपक"" 1|धनुषा 1 चुनाव|#दीपक|""दीपक कार्की"" धनुषा"
ब्रहमदेव महतो,धनुषा,1,जनमत पार्टी,लाउड स्पिकर,"""ब्रहमदेव महतो""|""ब्रहमदेव"" धनुषा|""ब्रहमदेव"" 1|धनुषा 1 चुनाव|#ब्रहमदेव|""ब्रहमदेव महतो"" धनुषा"
राम बहादुर लामा,धनुषा,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"""राम बहादुर लामा""|""राम"" धनुषा|""राम"" 1|धनुषा 1 चुनाव|#राम|""राम बहादुर लामा"" धनुषा"
