Name,District,ConstNo,Party,Keywords,FileSaveName,DistrictEng
विनिता कुमारी राजवंशी,झापा,3,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),"""विनिता कुमारी राजवंशी"" झापा 3",jhapa_3.csv,Jhapa
अभय राजवंशी,झापा,3,स्वतन्त्र,"""अभय राजवंशी"" झापा 3",jhapa_3.csv,Jhapa
मानप्रकाश संग्रौला,झापा,3,स्वतन्त्र,"""मानप्रकाश संग्रौला"" झापा 3",jhapa_3.csv,Jhapa
लाल प्रसाद साँवा लिम्बू,झापा,4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""लाल प्रसाद साँवा लिम्बू"" झापा 4",jhapa_4.csv,Jhapa
देउ कुमार थेवे,झापा,4,नेपाली काँग्रेस,"""देउ कुमार थेवे"" झापा 4",jhapa_4.csv,Jhapa
पुरुषोतम चुडाल,झापा,4,नेपाली कम्युनिष्ट पार्टी,"""पुरुषोतम चुडाल"" झापा 4",jhapa_4.csv,Jhapa
शम्भु प्रसाद ढकाल,झापा,4,राष्ट्रिय स्वतन्त्र पार्टी,"""शम्भु प्रसाद ढकाल"" झापा 4",jhapa_4.csv,Jhapa
भक्ति प्रसाद सिटौला,झापा,4,राष्ट्रिय प्रजातन्त्र पार्टी,"""भक्ति प्रसाद सिटौला"" झापा 4",jhapa_4.csv,Jhapa
पलटन ताजपुरिया,झापा,4,"जनता समाजवादी पार्टी, नेपाल","""पलटन ताजपुरिया"" झापा 4",jhapa_4.csv,Jhapa
लोथ्रो हेमरम,झापा,4,जनमत पार्टी,"""लोथ्रो हेमरम"" झापा 4",jhapa_4.csv,Jhapa
तुल्सी लक्ष्मी दुमरु (बाटी),झापा,4,नेपाल मजदुर किसान पार्टी,"""तुल्सी लक्ष्मी दुमरु (बाटी)"" झापा 4",jhapa_4.csv,Jhapa
दिलिप धिमाल,झापा,4,मंगोल नेशनल अर्गनाइजेसन,"""दिलिप धिमाल"" झापा 4",jhapa_4.csv,Jhapa
टेक बहादुर अधिकारी,झापा,4,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),"""टेक बहादुर अधिकारी"" झापा 4",jhapa_4.csv,Jhapa
किरण लिम्वु  लिङदेन,झापा,4,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"""किरण लिम्वु  लिङदेन"" झापा 4",jhapa_4.csv,Jhapa
अमृता देवि राई,झापा,4,श्रम संस्कृति पार्टी,"""अमृता देवि राई"" झापा 4",jhapa_4.csv,Jhapa
तारा बहादुर थापा,झापा,4,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""तारा बहादुर थापा"" झापा 4",jhapa_4.csv,Jhapa
सन्तोष तामाङ्ग,झापा,4,उज्यालो नेपाल पार्टी,"""सन्तोष तामाङ्ग"" झापा 4",jhapa_4.csv,Jhapa
त्रीनारायण राजवंशी,झापा,4,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),"""त्रीनारायण राजवंशी"" झापा 4",jhapa_4.csv,Jhapa
साजन माझी,झापा,4,स्वतन्त्र,"""साजन माझी"" झापा 4",jhapa_4.csv,Jhapa
के.पी शर्मा ओली,झापा,5,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""के.पी शर्मा ओली"" झापा 5",jhapa_5.csv,Jhapa
मंधरा चिमरिया,झापा,5,नेपाली काँग्रेस,"""मंधरा चिमरिया"" झापा 5",jhapa_5.csv,Jhapa
रन्जित तामाङ,झापा,5,नेपाली कम्युनिष्ट पार्टी,"""रन्जित तामाङ"" झापा 5",jhapa_5.csv,Jhapa
वालेन्द्र शाह,झापा,5,राष्ट्रिय स्वतन्त्र पार्टी,"""वालेन्द्र शाह"" झापा 5",jhapa_5.csv,Jhapa
लक्ष्मी प्रसाद संग्रौला,झापा,5,राष्ट्रिय प्रजातन्त्र पार्टी,"""लक्ष्मी प्रसाद संग्रौला"" झापा 5",jhapa_5.csv,Jhapa
धिरेन सुब्बा,झापा,5,"जनता समाजवादी पार्टी, नेपाल","""धिरेन सुब्बा"" झापा 5",jhapa_5.csv,Jhapa
अमृतलाल महतो,झापा,5,जनमत पार्टी,"""अमृतलाल महतो"" झापा 5",jhapa_5.csv,Jhapa
सान बहादुर मेचे,झापा,5,मंगोल नेशनल अर्गनाइजेसन,"""सान बहादुर मेचे"" झापा 5",jhapa_5.csv,Jhapa
पदम बहादुर जवेगु,झापा,5,नेपाल जनमुक्ति पार्टी,"""पदम बहादुर जवेगु"" झापा 5",jhapa_5.csv,Jhapa
सविन राई,झापा,5,राष्ट्रिय परिवर्तन पार्टी,"""सविन राई"" झापा 5",jhapa_5.csv,Jhapa
सुशान्त साम्पङ राइ,झापा,5,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"""सुशान्त साम्पङ राइ"" झापा 5",jhapa_5.csv,Jhapa
समिर तामाङ्ग,झापा,5,श्रम संस्कृति पार्टी,"""समिर तामाङ्ग"" झापा 5",jhapa_5.csv,Jhapa
संजय राई,झापा,5,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""संजय राई"" झापा 5",jhapa_5.csv,Jhapa
अमृत रसाइलि,झापा,5,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),"""अमृत रसाइलि"" झापा 5",jhapa_5.csv,Jhapa
धर्मराज गुरागाई,झापा,5,पिपुल फर्ष्ट पार्टी,"""धर्मराज गुरागाई"" झापा 5",jhapa_5.csv,Jhapa
अर्जुन सापकोटा,झापा,5,स्वतन्त्र,"""अर्जुन सापकोटा"" झापा 5",jhapa_5.csv,Jhapa
खेमनाथ शिवाकोटी,झापा,5,स्वतन्त्र,"""खेमनाथ शिवाकोटी"" झापा 5",jhapa_5.csv,Jhapa
डम्वर शाहु,झापा,5,स्वतन्त्र,"""डम्वर शाहु"" झापा 5",jhapa_5.csv,Jhapa
प्रकाश नेपाल,झापा,5,स्वतन्त्र,"""प्रकाश नेपाल"" झापा 5",jhapa_5.csv,Jhapa
पुस्कर खतिवडा,झापा,5,स्वतन्त्र,"""पुस्कर खतिवडा"" झापा 5",jhapa_5.csv,Jhapa
मातृका भट्टराई,झापा,5,स्वतन्त्र,"""मातृका भट्टराई"" झापा 5",jhapa_5.csv,Jhapa
रञ्जना गौतम,झापा,5,स्वतन्त्र,"""रञ्जना गौतम"" झापा 5",jhapa_5.csv,Jhapa
विपुल गुरागाई,झापा,5,स्वतन्त्र,"""विपुल गुरागाई"" झापा 5",jhapa_5.csv,Jhapa
शोभा भण्डारी,झापा,5,स्वतन्त्र,"""शोभा भण्डारी"" झापा 5",jhapa_5.csv,Jhapa
अर्जुन कुमार कार्की,संखुवासभा,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""अर्जुन कुमार कार्की"" संखुवासभा 1",sankhuwasabha_1.csv,Sankhuwasabha
दिपन कुमार श्रेष्ठ,संखुवासभा,1,नेपाली काँग्रेस,"""दिपन कुमार श्रेष्ठ"" संखुवासभा 1",sankhuwasabha_1.csv,Sankhuwasabha
सरिता थापा,संखुवासभा,1,नेपाली कम्युनिष्ट पार्टी,"""सरिता थापा"" संखुवासभा 1",sankhuwasabha_1.csv,Sankhuwasabha
मिङमा शेर्पा,संखुवासभा,1,राष्ट्रिय स्वतन्त्र पार्टी,"""मिङमा शेर्पा"" संखुवासभा 1",sankhuwasabha_1.csv,Sankhuwasabha
पदम बहादुर तामाङ,संखुवासभा,1,राष्ट्रिय प्रजातन्त्र पार्टी,"""पदम बहादुर तामाङ"" संखुवासभा 1",sankhuwasabha_1.csv,Sankhuwasabha
भरत कुमार राई (याक्खा),संखुवासभा,1,"जनता समाजवादी पार्टी, नेपाल","""भरत कुमार राई (याक्खा)"" संखुवासभा 1",sankhuwasabha_1.csv,Sankhuwasabha
राज कुमार लघु,संखुवासभा,1,नेपाल मजदुर किसान पार्टी,"""राज कुमार लघु"" संखुवासभा 1",sankhuwasabha_1.csv,Sankhuwasabha
हेम कुमार गुरुङ्ग,संखुवासभा,1,राष्ट्रिय जनमोर्चा,"""हेम कुमार गुरुङ्ग"" संखुवासभा 1",sankhuwasabha_1.csv,Sankhuwasabha
