CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName
राजीव खत्री,Rajiv Khatri,भक्तपुर,bhaktapur,2
बिक्रम थापा,Bikram Thapa,भक्तपुर,bhaktapur,2
नबिन श्रेष्‍ठ,Nabin Shrestha,भक्तपुर,bhaktapur,2
रमेश व‌ैद्य,Ramesh Baidya,भक्तपुर,bhaktapur,2
जन्मदेव जैसी,Janmadev Jaisi,भक्तपुर,bhaktapur,2
पेम्बा घले,Pemba Ghale,भक्तपुर,bhaktapur,2
लोक कृष्ण दाहाल,Lok Krishna Dahal,भक्तपुर,bhaktapur,2
राजेश बाडे,Rajesh Bade,भक्तपुर,bhaktapur,2
अर्जुन बासु,Arjun Basu,भक्तपुर,bhaktapur,2
प्रकाश राज ढुङ्गेल,Prakash Raj Dhungel,भक्तपुर,bhaktapur,2
जित राम लामा,Jit Ram Lama,भक्तपुर,bhaktapur,2
राकेश श्रेष्‍ठ,Rakesh Shrestha,भक्तपुर,bhaktapur,2
जानुका पाठक,Januka Pathak,भक्तपुर,bhaktapur,2
देवकुमारी साह,Devkumari Sah,भक्तपुर,bhaktapur,2
अनिता भट्टराई,Anita Bhattarai,भक्तपुर,bhaktapur,2
अर्चना भट्टराई,Archana Bhattarai,भक्तपुर,bhaktapur,2
आनन्द कार्की,Ananda Karki,भक्तपुर,bhaktapur,2
ओम कृष्ण कुटु,Om Krishna Kutu,भक्तपुर,bhaktapur,2
नविन कुमार महत,Nabin Kumar Mahat,भक्तपुर,bhaktapur,2
प्रदिप कुमार रुपाखेती,Pradip Kumar Rupakheti,भक्तपुर,bhaktapur,2
मधु प्रकाश साहुखल,Madhu Prakash Sahukhal,भक्तपुर,bhaktapur,2
मनोज लामा,Manoj Lama,भक्तपुर,bhaktapur,2
रेणु श्रेष्ठ,Renu Shrestha,भक्तपुर,bhaktapur,2
लक्ष्मी वास्तोला पौडेल,Laxmi Bastola Poudel,भक्तपुर,bhaktapur,2
वाल कृष्ण थापा,Bal Krishna Thapa,भक्तपुर,bhaktapur,2
श्याम कृष्ण धुख्वा,Shyam Krishna Dhukhwa,भक्तपुर,bhaktapur,2
सविन महत,Sabin Mahat,भक्तपुर,bhaktapur,2
साजन ढकाल,Sajan Dhakal,भक्तपुर,bhaktapur,2
सुर्वण थापा,Suwarna Thapa,भक्तपुर,bhaktapur,2
